8140 = U+3000 // 　
8141 = U+3001 // 、
8142 = U+3002 // 。
8143 = U+ff0c // ，
8144 = U+ff0e // ．
8145 = U+30fb // ・
8146 = U+ff1a // ：
8147 = U+ff1b // ；
8148 = U+ff1f // ？
8149 = U+ff01 // ！
814a = U+309b // ゛
814b = U+309c // ゜
814c = U+00b4 // ´
814d = U+ff40 // ｀
814e = U+00a8 // ¨
814f = U+ff3e // ＾
8150 = U+ffe3 // ￣
8151 = U+ff3f // ＿
8152 = U+30fd // ヽ
8153 = U+30fe // ヾ
8154 = U+309d // ゝ
8155 = U+309e // ゞ
8156 = U+3003 // 〃
8157 = U+4edd // 仝
8158 = U+3005 // 々
8159 = U+3006 // 〆
815a = U+3007 // 〇
815b = U+30fc // ー
815d = U+2010 // ‐
815e = U+ff0f // ／
815f = U+ff3c // ＼
8161 = U+2225 // ∥
8162 = U+ff5c // ｜
8163 = U+2026 // …
8164 = U+2025 // ‥
8165 = U+2018 // ‘
8166 = U+2019 // ’
8167 = U+201c // “
8168 = U+201d // ”
8169 = U+ff08 // （
816a = U+ff09 // ）
816b = U+3014 // 〔
816c = U+3015 // 〕
816d = U+ff3b // ［
816e = U+ff3d // ］
816f = U+ff5b // ｛
8170 = U+ff5d // ｝
8171 = U+3008 // 〈
8172 = U+3009 // 〉
8173 = U+300a // 《
8174 = U+300b // 》
8175 = U+300c // 「
8176 = U+300d // 」
8177 = U+300e // 『
8178 = U+300f // 』
8179 = U+3010 // 【
817a = U+3011 // 】
817b = U+ff0b // ＋
817c = U+ff0d // －
817d = U+00b1 // ±
817e = U+00d7 // ×
8180 = U+00f7 // ÷
8181 = U+ff1d // ＝
8182 = U+2260 // ≠
8183 = U+ff1c // ＜
8184 = U+ff1e // ＞
8185 = U+2266 // ≦
8186 = U+2267 // ≧
8187 = U+221e // ∞
8188 = U+2234 // ∴
8189 = U+2642 // ♂
818a = U+2640 // ♀
818b = U+00b0 // °
818c = U+2032 // ′
818d = U+2033 // ″
818e = U+2103 // ℃
818f = U+ffe5 // ￥
8190 = U+ff04 // ＄
8191 = U+ffe0 // ￠
8192 = U+ffe1 // ￡
8193 = U+ff05 // ％
8194 = U+ff03 // ＃
8195 = U+ff06 // ＆
8196 = U+ff0a // ＊
8197 = U+ff20 // ＠
8198 = U+00a7 // §
8199 = U+2606 // ☆
819a = U+2605 // ★
819b = U+25cb // ○
819c = U+25cf // ●
819d = U+25ce // ◎
819e = U+25c7 // ◇
819f = U+25c6 // ◆
81a0 = U+25a1 // □
81a1 = U+25a0 // ■
81a2 = U+25b3 // △
81a3 = U+25b2 // ▲
81a4 = U+25bd // ▽
81a5 = U+25bc // ▼
81a6 = U+203b // ※
81a7 = U+3012 // 〒
81a8 = U+2192 // →
81a9 = U+2190 // ←
81aa = U+2191 // ↑
81ab = U+2193 // ↓
81ac = U+3013 // 〓
81b8 = U+2208 // ∈
81b9 = U+220b // ∋
81ba = U+2286 // ⊆
81bb = U+2287 // ⊇
81bc = U+2282 // ⊂
81bd = U+2283 // ⊃
81be = U+222a // ∪
81bf = U+2229 // ∩
81c8 = U+2227 // ∧
81c9 = U+2228 // ∨
81ca = U+ffe2 // ￢
81cb = U+21d2 // ⇒
81cc = U+21d4 // ⇔
81cd = U+2200 // ∀
81ce = U+2203 // ∃
81da = U+2220 // ∠
81db = U+22a5 // ⊥
81dc = U+2312 // ⌒
81dd = U+2202 // ∂
81de = U+2207 // ∇
81df = U+2261 // ≡
81e0 = U+2252 // ≒
81e1 = U+226a // ≪
81e2 = U+226b // ≫
81e3 = U+221a // √
81e4 = U+223d // ∽
81e5 = U+221d // ∝
81e6 = U+2235 // ∵
81e7 = U+222b // ∫
81e8 = U+222c // ∬
81f0 = U+212b // Å
81f1 = U+2030 // ‰
81f2 = U+266f // ♯
81f3 = U+266d // ♭
81f4 = U+266a // ♪
81f5 = U+2020 // †
81f6 = U+2021 // ‡
81f7 = U+00b6 // ¶
81fc = U+25ef // ◯
824f = U+ff10 // ０
8250 = U+ff11 // １
8251 = U+ff12 // ２
8252 = U+ff13 // ３
8253 = U+ff14 // ４
8254 = U+ff15 // ５
8255 = U+ff16 // ６
8256 = U+ff17 // ７
8257 = U+ff18 // ８
8258 = U+ff19 // ９
8261 = U+ff22 // Ｂ
8262 = U+ff23 // Ｃ
8263 = U+ff24 // Ｄ
8264 = U+ff25 // Ｅ
8265 = U+ff26 // Ｆ
8266 = U+ff27 // Ｇ
8267 = U+ff28 // Ｈ
8268 = U+ff29 // Ｉ
8269 = U+ff2a // Ｊ
826a = U+ff2b // Ｋ
826b = U+ff2c // Ｌ
826c = U+ff2d // Ｍ
826d = U+ff2e // Ｎ
826e = U+ff2f // Ｏ
826f = U+ff30 // Ｐ
8270 = U+ff31 // Ｑ
8271 = U+ff32 // Ｒ
8272 = U+ff33 // Ｓ
8273 = U+ff34 // Ｔ
8274 = U+ff35 // Ｕ
8275 = U+ff36 // Ｖ
8276 = U+ff37 // Ｗ
8277 = U+ff38 // Ｘ
8278 = U+ff39 // Ｙ
8279 = U+ff3a // Ｚ
8281 = U+ff41 // ａ
8282 = U+ff42 // ｂ
8283 = U+ff43 // ｃ
8284 = U+ff44 // ｄ
8285 = U+ff45 // ｅ
8286 = U+ff46 // ｆ
8287 = U+ff47 // ｇ
8288 = U+ff48 // ｈ
8289 = U+ff49 // ｉ
828a = U+ff4a // ｊ
828b = U+ff4b // ｋ
828c = U+ff4c // ｌ
828d = U+ff4d // ｍ
828e = U+ff4e // ｎ
828f = U+ff4f // ｏ
8290 = U+ff50 // ｐ
8291 = U+ff51 // ｑ
8292 = U+ff52 // ｒ
8293 = U+ff53 // ｓ
8294 = U+ff54 // ｔ
8295 = U+ff55 // ｕ
8296 = U+ff56 // ｖ
8297 = U+ff57 // ｗ
8298 = U+ff58 // ｘ
8299 = U+ff59 // ｙ
829a = U+ff5a // ｚ
829f = U+3041 // ぁ
82a0 = U+3042 // あ
82a1 = U+3043 // ぃ
82a2 = U+3044 // い
82a3 = U+3045 // ぅ
82a4 = U+3046 // う
82a5 = U+3047 // ぇ
82a6 = U+3048 // え
82a7 = U+3049 // ぉ
82a8 = U+304a // お
82a9 = U+304b // か
82aa = U+304c // が
82ab = U+304d // き
82ac = U+304e // ぎ
82ad = U+304f // く
82ae = U+3050 // ぐ
82af = U+3051 // け
82b0 = U+3052 // げ
82b1 = U+3053 // こ
82b2 = U+3054 // ご
82b3 = U+3055 // さ
82b4 = U+3056 // ざ
82b5 = U+3057 // し
82b6 = U+3058 // じ
82b7 = U+3059 // す
82b8 = U+305a // ず
82b9 = U+305b // せ
82ba = U+305c // ぜ
82bb = U+305d // そ
82bc = U+305e // ぞ
82bd = U+305f // た
82be = U+3060 // だ
82bf = U+3061 // ち
82c0 = U+3062 // ぢ
82c1 = U+3063 // っ
82c2 = U+3064 // つ
82c3 = U+3065 // づ
82c4 = U+3066 // て
82c5 = U+3067 // で
82c6 = U+3068 // と
82c7 = U+3069 // ど
82c8 = U+306a // な
82c9 = U+306b // に
82ca = U+306c // ぬ
82cb = U+306d // ね
82cc = U+306e // の
82cd = U+306f // は
82ce = U+3070 // ば
82cf = U+3071 // ぱ
82d0 = U+3072 // ひ
82d1 = U+3073 // び
82d2 = U+3074 // ぴ
82d3 = U+3075 // ふ
82d4 = U+3076 // ぶ
82d5 = U+3077 // ぷ
82d6 = U+3078 // へ
82d7 = U+3079 // べ
82d8 = U+307a // ぺ
82d9 = U+307b // ほ
82da = U+307c // ぼ
82db = U+307d // ぽ
82dc = U+307e // ま
82dd = U+307f // み
82de = U+3080 // む
82df = U+3081 // め
82e0 = U+3082 // も
82e1 = U+3083 // ゃ
82e2 = U+3084 // や
82e3 = U+3085 // ゅ
82e4 = U+3086 // ゆ
82e5 = U+3087 // ょ
82e6 = U+3088 // よ
82e7 = U+3089 // ら
82e8 = U+308a // り
82e9 = U+308b // る
82ea = U+308c // れ
82eb = U+308d // ろ
82ec = U+308e // ゎ
82ed = U+308f // わ
82ee = U+3090 // ゐ
82ef = U+3091 // ゑ
82f0 = U+3092 // を
82f1 = U+3093 // ん
8340 = U+30a1 // ァ
8341 = U+30a2 // ア
8342 = U+30a3 // ィ
8343 = U+30a4 // イ
8344 = U+30a5 // ゥ
8345 = U+30a6 // ウ
8346 = U+30a7 // ェ
8347 = U+30a8 // エ
8348 = U+30a9 // ォ
8349 = U+30aa // オ
834a = U+30ab // カ
834b = U+30ac // ガ
834c = U+30ad // キ
834d = U+30ae // ギ
834e = U+30af // ク
834f = U+30b0 // グ
8350 = U+30b1 // ケ
8351 = U+30b2 // ゲ
8352 = U+30b3 // コ
8353 = U+30b4 // ゴ
8354 = U+30b5 // サ
8355 = U+30b6 // ザ
8356 = U+30b7 // シ
8357 = U+30b8 // ジ
8358 = U+30b9 // ス
8359 = U+30ba // ズ
835a = U+30bb // セ
835b = U+30bc // ゼ
835d = U+30be // ゾ
835e = U+30bf // タ
835f = U+30c0 // ダ
8361 = U+30c2 // ヂ
8362 = U+30c3 // ッ
8363 = U+30c4 // ツ
8364 = U+30c5 // ヅ
8365 = U+30c6 // テ
8366 = U+30c7 // デ
8367 = U+30c8 // ト
8368 = U+30c9 // ド
8369 = U+30ca // ナ
836a = U+30cb // ニ
836b = U+30cc // ヌ
836c = U+30cd // ネ
836d = U+30ce // ノ
836e = U+30cf // ハ
836f = U+30d0 // バ
8370 = U+30d1 // パ
8371 = U+30d2 // ヒ
8372 = U+30d3 // ビ
8373 = U+30d4 // ピ
8374 = U+30d5 // フ
8375 = U+30d6 // ブ
8376 = U+30d7 // プ
8377 = U+30d8 // ヘ
8378 = U+30d9 // ベ
8379 = U+30da // ペ
837a = U+30db // ホ
837b = U+30dc // ボ
837c = U+30dd // ポ
837d = U+30de // マ
837e = U+30df // ミ
8380 = U+30e0 // ム
8381 = U+30e1 // メ
8382 = U+30e2 // モ
8383 = U+30e3 // ャ
8384 = U+30e4 // ヤ
8385 = U+30e5 // ュ
8386 = U+30e6 // ユ
8387 = U+30e7 // ョ
8388 = U+30e8 // ヨ
8389 = U+30e9 // ラ
838a = U+30ea // リ
838b = U+30eb // ル
838c = U+30ec // レ
838d = U+30ed // ロ
838e = U+30ee // ヮ
838f = U+30ef // ワ
8390 = U+30f0 // ヰ
8391 = U+30f1 // ヱ
8392 = U+30f2 // ヲ
8393 = U+30f3 // ン
8394 = U+30f4 // ヴ
8395 = U+30f5 // ヵ
8396 = U+30f6 // ヶ
839f = U+0391 // Α
83a0 = U+0392 // Β
83a1 = U+0393 // Γ
83a2 = U+0394 // Δ
83a3 = U+0395 // Ε
83a4 = U+0396 // Ζ
83a5 = U+0397 // Η
83a6 = U+0398 // Θ
83a7 = U+0399 // Ι
83a8 = U+039a // Κ
83a9 = U+039b // Λ
83aa = U+039c // Μ
83ab = U+039d // Ν
83ac = U+039e // Ξ
83ad = U+039f // Ο
83ae = U+03a0 // Π
83af = U+03a1 // Ρ
83b0 = U+03a3 // Σ
83b1 = U+03a4 // Τ
83b2 = U+03a5 // Υ
83b3 = U+03a6 // Φ
83b4 = U+03a7 // Χ
83b5 = U+03a8 // Ψ
83b6 = U+03a9 // Ω
83bf = U+03b1 // α
83c0 = U+03b2 // β
83c1 = U+03b3 // γ
83c2 = U+03b4 // δ
83c3 = U+03b5 // ε
83c4 = U+03b6 // ζ
83c5 = U+03b7 // η
83c6 = U+03b8 // θ
83c7 = U+03b9 // ι
83c8 = U+03ba // κ
83c9 = U+03bb // λ
83ca = U+03bc // μ
83cb = U+03bd // ν
83cc = U+03be // ξ
83cd = U+03bf // ο
83ce = U+03c0 // π
83cf = U+03c1 // ρ
83d0 = U+03c3 // σ
83d1 = U+03c4 // τ
83d2 = U+03c5 // υ
83d3 = U+03c6 // φ
83d4 = U+03c7 // χ
83d5 = U+03c8 // ψ
83d6 = U+03c9 // ω
8440 = U+0410 // А
8441 = U+0411 // Б
8442 = U+0412 // В
8443 = U+0413 // Г
8444 = U+0414 // Д
8445 = U+0415 // Е
8446 = U+0401 // Ё
8447 = U+0416 // Ж
8448 = U+0417 // З
8449 = U+0418 // И
844a = U+0419 // Й
844b = U+041a // К
844c = U+041b // Л
844d = U+041c // М
844e = U+041d // Н
844f = U+041e // О
8450 = U+041f // П
8451 = U+0420 // Р
8452 = U+0421 // С
8453 = U+0422 // Т
8454 = U+0423 // У
8455 = U+0424 // Ф
8456 = U+0425 // Х
8457 = U+0426 // Ц
8458 = U+0427 // Ч
8459 = U+0428 // Ш
845a = U+0429 // Щ
845b = U+042a // Ъ
845d = U+042c // Ь
845e = U+042d // Э
845f = U+042e // Ю
8470 = U+0430 // а
8471 = U+0431 // б
8472 = U+0432 // в
8473 = U+0433 // г
8474 = U+0434 // д
8475 = U+0435 // е
8476 = U+0451 // ё
8477 = U+0436 // ж
8478 = U+0437 // з
8479 = U+0438 // и
847a = U+0439 // й
847b = U+043a // к
847c = U+043b // л
847d = U+043c // м
847e = U+043d // н
8480 = U+043e // о
8481 = U+043f // п
8482 = U+0440 // р
8483 = U+0441 // с
8484 = U+0442 // т
8485 = U+0443 // у
8486 = U+0444 // ф
8487 = U+0445 // х
8488 = U+0446 // ц
8489 = U+0447 // ч
848a = U+0448 // ш
848b = U+0449 // щ
848c = U+044a // ъ
848d = U+044b // ы
848e = U+044c // ь
848f = U+044d // э
8490 = U+044e // ю
8491 = U+044f // я
849f = U+2500 // ─
84a0 = U+2502 // │
84a1 = U+250c // ┌
84a2 = U+2510 // ┐
84a3 = U+2518 // ┘
84a4 = U+2514 // └
84a5 = U+251c // ├
84a6 = U+252c // ┬
84a7 = U+2524 // ┤
84a8 = U+2534 // ┴
84a9 = U+253c // ┼
84aa = U+2501 // ━
84ab = U+2503 // ┃
84ac = U+250f // ┏
84ad = U+2513 // ┓
84ae = U+251b // ┛
84af = U+2517 // ┗
84b0 = U+2523 // ┣
84b1 = U+2533 // ┳
84b2 = U+252b // ┫
84b3 = U+253b // ┻
84b4 = U+254b // ╋
84b5 = U+2520 // ┠
84b6 = U+252f // ┯
84b7 = U+2528 // ┨
84b8 = U+2537 // ┷
84b9 = U+253f // ┿
84ba = U+251d // ┝
84bb = U+2530 // ┰
84bc = U+2525 // ┥
84bd = U+2538 // ┸
84be = U+2542 // ╂
8740 = U+2460 // ①
8741 = U+2461 // ②
8742 = U+2462 // ③
8743 = U+2463 // ④
8744 = U+2464 // ⑤
8745 = U+2465 // ⑥
8746 = U+2466 // ⑦
8747 = U+2467 // ⑧
8748 = U+2468 // ⑨
8749 = U+2469 // ⑩
874a = U+246a // ⑪
874b = U+246b // ⑫
874c = U+246c // ⑬
874d = U+246d // ⑭
874e = U+246e // ⑮
874f = U+246f // ⑯
8750 = U+2470 // ⑰
8751 = U+2471 // ⑱
8752 = U+2472 // ⑲
8753 = U+2473 // ⑳
8754 = U+2160 // Ⅰ
8755 = U+2161 // Ⅱ
8756 = U+2162 // Ⅲ
8757 = U+2163 // Ⅳ
8758 = U+2164 // Ⅴ
8759 = U+2165 // Ⅵ
875a = U+2166 // Ⅶ
875b = U+2167 // Ⅷ
875d = U+2169 // Ⅹ
875f = U+3349 // ㍉
8761 = U+3322 // ㌢
8762 = U+334d // ㍍
8763 = U+3318 // ㌘
8764 = U+3327 // ㌧
8765 = U+3303 // ㌃
8766 = U+3336 // ㌶
8767 = U+3351 // ㍑
8768 = U+3357 // ㍗
8769 = U+330d // ㌍
876a = U+3326 // ㌦
876b = U+3323 // ㌣
876c = U+332b // ㌫
876d = U+334a // ㍊
876e = U+333b // ㌻
876f = U+339c // ㎜
8770 = U+339d // ㎝
8771 = U+339e // ㎞
8772 = U+338e // ㎎
8773 = U+338f // ㎏
8774 = U+33c4 // ㏄
8775 = U+33a1 // ㎡
877e = U+337b // ㍻
